round,loss,accuracy,ignored_total,ignored_attackers,ignored_benign
1,2.86588491499424,0.78582,3,0,3
2,3.133205420896411,0.7883899999999999,3,0,3
3,3.263371106237173,0.79086,3,1,2
4,3.4783197307959197,0.7917500000000001,3,1,2
5,3.9872237008064983,0.79109,3,1,2
6,4.1943522213026885,0.79247,3,1,2
7,4.162975908257067,0.7925000000000001,3,1,2
8,4.6860899914056064,0.7929499999999999,3,0,3
9,4.76194769423455,0.7932600000000001,3,1,2
10,5.241764573380351,0.7931499999999999,3,1,2
11,5.537486477568746,0.79307,3,1,2
12,5.83661194331944,0.79305,3,1,2
