round,loss,accuracy,ignored_total,ignored_attackers,ignored_benign
1,4.153002103045583,0.68733,0,0,0
2,4.762000977620483,0.6918500000000001,0,0,0
3,5.14773629475385,0.69231,0,0,0
4,5.345269109681249,0.6929799999999999,0,0,0
5,5.944273823313415,0.6930400000000001,0,0,0
6,6.315983918868005,0.6936299999999999,0,0,0
7,6.6049428226426246,0.6930099999999999,0,0,0
8,7.190795733220876,0.69356,0,0,0
9,7.565291248075664,0.6941500000000002,0,0,0
10,8.028163087926805,0.694,0,0,0
11,8.387285039015115,0.6940299999999999,0,0,0
12,8.588552712462842,0.69408,0,0,0
13,8.97152980826795,0.6946900000000001,0,0,0
14,9.447641809470952,0.6944999999999999,0,0,0
15,10.054638507403434,0.69467,0,0,0
16,10.34845228418708,0.69492,0,0,0
17,10.667102138884365,0.6947099999999999,0,0,0
18,11.241292333230376,0.6949699999999999,0,0,0
19,11.474421054311097,0.69499,0,0,0
20,11.68760856539011,0.69521,0,0,0
21,11.825767380185425,0.69516,0,0,0
22,12.051571705564857,0.6952400000000001,0,0,0
23,12.221223217435181,0.6952699999999999,0,0,0
24,12.40736240595579,0.6951499999999999,0,0,0
25,12.561932992748917,0.6951099999999999,0,0,0
26,12.704031867720186,0.69521,0,0,0
27,12.820332947187126,0.69521,0,0,0
28,12.917608650401235,0.69519,0,0,0
29,13.032052930630744,0.69523,0,0,0
30,13.123869035951794,0.69519,0,0,0
